K,Rem,cdrag
1.2,3508.403368857035,1.6778787128377195
1.2,2397.146498395742,1.6871749431665888
1.2,6963.788682390822,1.547878097195095
1.2,1854.9446681430877,1.873005396297852
1.2,2446.9656301043,1.69800310937522
1.2,6106.237637220222,1.6187035450302656
1.2,2125.9103343911474,1.8097189971652168
1.2,6386.780726872339,1.6073071376737411
1.2,7071.980361547711,1.5935920332876587
1.2,7081.185356599815,1.5282202124440287
1.2,6330.476972414172,1.668000348936003
1.2,2598.614475656148,1.770394469285394
1.2,2432.8226745783086,1.6940329283296651
1.2,2181.7709209887144,1.6669471617254723
1.2,7375.733334722457,1.5580288640600668
1.2,2392.92209485191,1.769794196356779
1.2,2059.887919213163,1.7988934948592896
1.2,1639.500087338255,1.7591518927280223
1.2,5305.60163399577,1.6142871897766338
1.2,7404.621742772245,1.4978963418140876
1.2,2419.3905072233933,1.7515500977498193
1.2,6028.512601635709,1.6091869922003812
1.2,2249.8441586447425,1.7654227466723649
1.2,2283.0363420644712,1.7085848332029776
1.2,2058.284444068619,1.789410528766357
1.2,1753.4013479797302,1.8361517072338909
1.2,2114.227509576986,1.814760826950972
1.2,1891.9822830987548,1.8040624713453148
1.2,8611.904169291849,1.525081246229923
1.2,2292.329668221082,1.788411182979717
1.2,2493.120702368501,1.6533643075568325
1.2,2318.099671100209,1.7951984354206407
1.2,1851.7162683516951,1.7941691999143854
1.2,2171.0821379627964,1.7769930240968017
1.2,6707.297168761086,1.5542598759292054
1.2,6312.562587648277,1.6041532163919074
1.2,2382.4813942304336,1.7258742057490868
1.2,7312.341741248478,1.572608259419455
1.2,2098.287857651838,1.826697064789464
1.2,2262.179494146248,1.6690152153062363
1.2,2348.263431052874,1.796936225636429
1.2,2481.3665699853327,1.721393950685687
1.2,8725.17979174225,1.4607574720026133
1.2,2432.978092455269,1.6999934153937948
1.2,4311.801860915943,1.7402775313151349
1.2,2466.4774830402,1.653395741927016
1.2,2454.736191894869,1.740493114339965
1.2,1759.7990854608431,1.8853073796035744
1.2,2008.018164002132,1.781782233400475
1.2,1916.986337246892,1.909284203977075
1.2,6332.810753020185,1.6277575893593583
1.2,3646.077519746346,1.727241489865414
1.2,2449.801003927542,1.6467040940617923
1.2,6815.060689851066,1.5724061597610286
1.2,1984.9636871124137,1.764789473810381
1.2,9345.150869243793,1.5105153652466483
0.3,2679.355890230724,2.300661245290329
0.3,2679.355890230724,2.6926002345738738
0.3,2021.048228994758,2.994071208991476
0.3,2609.812931733048,2.348515377412963
0.3,2609.812931733048,2.782729049676229
0.3,2026.038091846313,3.041311455335212
0.3,2907.1854718320824,2.4653134312649523
0.3,2907.1854718320824,2.5244076557905792
0.3,2335.5808665451887,2.6571154874174376
0.3,2849.3454715235757,2.43535255807932
0.3,2849.3454715235757,2.691868283823735
0.3,2127.560534203579,2.755497289107592
0.3,8534.893084703353,2.123308650228056
0.3,8534.893084703353,2.223830682737471
0.3,6706.130819754945,2.3545372307488126
0.3,2646.158019786973,2.380476719131635
0.3,2646.158019786973,2.5200629358914632
0.3,2057.6894519501006,2.7748594577737062
0.3,1723.8068000231592,2.91549892022399
0.3,1552.6135344348363,2.902744172370264
0.3,1358.9262364329916,2.9303147628227184
0.3,1242.7893062594128,2.841418535985179
0.3,1153.262391268854,2.6317328147819583
0.3,1114.9685435384808,2.653062593998887
0.3,1084.6490978257011,2.1238060752376344
0.3,2620.5312333993998,2.1272962355052067
0.3,2620.5312333993998,2.49846029020908
0.3,2076.389541214832,2.833363601781924
0.3,1652.2634885205916,3.032871115184055
0.3,1431.6239450706216,3.1261501209960625
0.3,1265.7825280326135,2.9941825274706764
0.3,1129.970986370001,3.1244242453302165
0.3,1037.1493138617234,2.966279981614856
0.3,967.9243992948158,2.887634212013463
0.3,923.9327870776058,2.205919578797466
0.3,2926.654007134639,2.475622348502014
