K,Rem,frictionFactor
1.2,2422.690732755876,2.6175164157634656
1.2,2301.766374468295,2.633670746400804
1.2,2420.671573748116,2.46749523949712
1.2,2420.671573748116,2.619346435877504
1.2,2298.919994485795,2.636135744973054
1.2,2418.5920631426497,2.468690235758712
1.2,2418.5920631426497,2.6212406207545054
1.2,2295.981218596421,2.638686804219257
1.2,2416.4523384241656,2.469921981154033
1.2,2416.4523384241656,2.6231897514466405
1.2,2292.965029004086,2.641314809845995
1.2,2414.244825384813,2.471195037527021
1.2,2414.244825384813,2.625203573498444
1.2,2289.8570447624256,2.644029827669864
1.2,2411.985106443608,2.4725006142412225
1.2,2411.985106443608,2.627268096140479
1.2,2286.6795470810234,2.646813096680288
1.2,2409.673311580046,2.4738388123312283
1.2,2409.673311580046,2.62939308819069
1.2,2283.41817773045,2.6496795230466312
1.2,2407.301877431954,2.475214203551685
1.2,2407.301877431954,2.6315740590135293
1.2,2280.0805536912203,2.6526247867558705
1.2,2404.8632704680545,2.4766313827413087
1.2,2404.8632704680545,2.6338160632210696
1.2,2276.659683102273,2.6553945431009858
1.2,2402.3807183946265,2.478077055656704
1.2,2402.3807183946265,2.636114610861706
1.2,2273.163178104462,2.6581496478199966
1.2,2399.831316286048,2.479564770484171
1.2,2399.831316286048,2.638479590950075
1.2,2269.5768096911443,2.660979569770254
1.2,2397.2229204019686,2.4810901863850567
1.2,2397.2229204019686,2.640896919693951
1.2,2265.92273338278,2.6638804409317927
1.2,2394.56336196816,2.4826489443392967
1.2,2394.56336196816,2.643381331086082
1.2,2262.179494146248,2.6668613811115507
1.2,2391.837486046137,2.484250167940504
1.2,2391.837486046137,2.645928362870801
1.2,2258.3547226108994,2.669914211848176
1.2,2389.068429361146,2.485880497825401
1.2,2389.068429361146,2.648363873667564
1.2,2254.6066529023474,2.67303504655249
1.2,2386.2257754750044,2.4875580952980934
1.2,2386.2257754750044,2.65072853516281
1.2,2250.8846701680777,2.6762330741874822
1.2,2383.3402746350466,2.4892650717156326
1.2,2383.3402746350466,2.653140454773854
1.2,2247.100941367089,2.6795000653413976
1.2,2553.414076833865,2.598839445452634
1.2,2553.414076833865,2.7202102563617254
1.2,2495.2445784726174,2.540573349203641
