    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
 167     7.24      1.96954e+07        7         0.104449          0.11267     15.25m
 168     7.16      6.24285e+07        7         0.104398         0.113127     14.44m
 169     7.21      3.35311e+10        7         0.104416         0.112968     13.87m
 170     7.20      1.72113e+13        7          0.10443         0.112844     13.92m
 171     7.22      1.82513e+11        7          0.10417         0.115182     14.94m
 172     7.22      6.25877e+10        7         0.104287         0.114128     12.91m
 173     7.18      2.42846e+08        7         0.104391         0.113188     12.37m
 174     7.25      5.73534e+12        7          0.10444         0.112754     12.03m
 175     7.32      1.09138e+15        7         0.104423         0.112909     14.08m
 176     7.25      2.77821e+14        7         0.104367         0.113404     11.91m
 177     7.15      1.15007e+08        7         0.104279         0.114202     10.69m
 178     7.28      3.43068e+18        7         0.104452         0.112639     10.23m
 179     7.28      7.56863e+11        7         0.104284         0.114158     10.02m
 180     7.24       1.7871e+11        7         0.104287         0.114126      7.91m
 181     7.22      7.67389e+18        7         0.104384         0.113257      7.14m
 182     7.24      1.71436e+11        7         0.104438         0.112772      7.06m
 183     7.24      9.37312e+18        7         0.104302         0.113989      6.55m
 184     7.24      7.90592e+11        7         0.104408         0.113036      6.22m
 185     7.30      1.24902e+11        7         0.104484         0.112351      5.71m
 186     7.26      3.19502e+08        7         0.104277         0.114216      5.86m
 187     7.25      3.34733e+18        7         0.104284         0.114154      5.55m
 188     7.26      2.27688e+12        7         0.104355         0.113513      4.45m
 189     7.18      5.03699e+14        7         0.104374         0.113349      4.04m
 190     7.23      1.60301e+15        7         0.104106         0.115759      3.67m
 191     7.26      8.64664e+07        7         0.104295         0.114056      3.28m
 192     7.21      3.32673e+14        7         0.104394         0.113167      2.92m
 193     7.15      1.19024e+11        7         0.104299         0.114021      2.64m
 194     7.20      3.79822e+18        7         0.104372         0.113362      1.96m
 195     7.20      2.17977e+07        7         0.104388         0.113222      1.60m
 196     7.23       2.6881e+11        7         0.104379         0.113297      1.15m
 197     7.29      8.92203e+14        7         0.104277         0.114217     46.27s
 198     7.23      1.27289e+15        7          0.10446         0.112575     23.33s
 199     7.21      3.93133e+08        7         0.104379           0.1133      0.00s
add(div(0.598, X0), sub(0.472, -0.737))
